Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
2535;921967;1;2020-02-06;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;6.063;6.063;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2536;921967;1;2020-02-06;00000014228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;3.72;3.72;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2537;921967;1;2020-02-06;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;34.006;0.0;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2538;921967;1;2020-02-06;00000011286;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;7.415;7.415;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2539;921967;1;2020-02-06;00000011288;Уголок 75х75х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;89.651;89.651;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2540;921967;1;2020-02-06;00000012036;Уголок 100х100х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;251.935;251.935;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2541;921967;1;2020-02-06;00000012037;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;394.713;394.713;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2542;921967;1;2020-02-06;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;43.514;43.514;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2543;921967;1;2020-02-06;00000015431;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;200.647;200.647;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2544;921967;1;2020-02-06;00000013009;Швеллер 10 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;9.837;9.837;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2545;921967;1;2020-02-06;00000013501;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;49.676;49.676;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
2546;921967;1;2020-02-06;00000012215;Шпилька по чертежу ШКМ-1 М12х100.40Х.бп ШКМ-01-КМД;1.78;0.0;0.0;1.0;0.0;АРКТИК СПГ 2 ООО;03/02-20 от 03.02.2020, Спецификация №1 от 03.02.2020;2020-01-07 00:00:00;0.0;2020-02-06 00:00:00;Комплектная поставка:   Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного про;921967-1;1;0.0;0.0;0.0;0.0;0.0
1769;921979;1;2020-02-04;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.476;0.476;0.0;1.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №87(1192) от 10.12.2019;2020-02-04 00:00:00;0.0;2020-01-04 00:00:00;"Опора промежуточная 2ПГ35/110-2,35Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001 ; Кронштейн ВОЛС КН";921979-1;1;0.0;0.0;0.0;0.0;0.0
